,beeID,cohort,cohort_names,caste,DOB,jdate_birth,round,colony
0,0,queen,0_queen,queen,1 july 2000,183,0,mn4
0,1,pink,1_workers,worker,14 may 2019,19134,0,c3
1,2,pink,1_workers,worker,14 may 2019,19134,0,c3
2,3,pink,1_workers,worker,14 may 2019,19134,0,c3
3,4,pink,1_workers,worker,14 may 2019,19134,0,c3
4,5,pink,1_workers,worker,14 may 2019,19134,0,c3
5,6,pink,1_workers,worker,14 may 2019,19134,0,c3
6,7,pink,1_workers,worker,14 may 2019,19134,0,c3
7,8,pink,1_workers,worker,14 may 2019,19134,0,c3
8,9,pink,1_workers,worker,14 may 2019,19134,0,c3
9,10,pink,1_workers,worker,14 may 2019,19134,0,c3
10,11,pink,1_workers,worker,14 may 2019,19134,0,c3
11,12,pink,1_workers,worker,14 may 2019,19134,0,c3
12,13,pink,1_workers,worker,14 may 2019,19134,0,c3
13,14,pink,1_workers,worker,14 may 2019,19134,0,c3
14,15,pink,1_workers,worker,14 may 2019,19134,0,c3
15,16,pink,1_workers,worker,14 may 2019,19134,0,c3
16,17,pink,1_workers,worker,14 may 2019,19134,0,c3
17,18,pink,1_workers,worker,14 may 2019,19134,0,c3
18,19,pink,1_workers,worker,14 may 2019,19134,0,c3
19,20,pink,1_workers,worker,14 may 2019,19134,0,c3
20,21,pink,1_workers,worker,14 may 2019,19134,0,c3
21,22,pink,1_workers,worker,14 may 2019,19134,0,c3
22,23,pink,1_workers,worker,14 may 2019,19134,0,c3
23,24,pink,1_workers,worker,14 may 2019,19134,0,c3
24,25,pink,1_workers,worker,14 may 2019,19134,0,c3
25,26,pink,1_workers,worker,14 may 2019,19134,0,c3
26,27,pink,1_workers,worker,14 may 2019,19134,0,c3
27,28,pink,1_workers,worker,14 may 2019,19134,0,c3
28,29,pink,1_workers,worker,14 may 2019,19134,0,c3
29,30,pink,1_workers,worker,14 may 2019,19134,0,c3
30,31,pink,1_workers,worker,14 may 2019,19134,0,c3
31,32,pink,1_workers,worker,14 may 2019,19134,0,c3
32,33,pink,1_workers,worker,14 may 2019,19134,0,c3
33,34,pink,1_workers,worker,14 may 2019,19134,0,c3
34,35,pink,1_workers,worker,14 may 2019,19134,0,c3
35,36,pink,1_workers,worker,14 may 2019,19134,0,c3
36,37,pink,1_workers,worker,14 may 2019,19134,0,c3
37,38,pink,1_workers,worker,14 may 2019,19134,0,c3
38,39,pink,1_workers,worker,14 may 2019,19134,0,c3
39,40,pink,1_workers,worker,14 may 2019,19134,0,c3
40,41,pink,1_workers,worker,14 may 2019,19134,0,c3
41,42,pink,1_workers,worker,14 may 2019,19134,0,c3
42,43,pink,1_workers,worker,14 may 2019,19134,0,c3
43,44,pink,1_workers,worker,14 may 2019,19134,0,c3
44,45,pink,1_workers,worker,14 may 2019,19134,0,c3
45,46,pink,1_workers,worker,14 may 2019,19134,0,c3
46,47,pink,1_workers,worker,14 may 2019,19134,0,c3
47,48,pink,1_workers,worker,14 may 2019,19134,0,c3
48,49,pink,1_workers,worker,14 may 2019,19134,0,c3
49,50,pink,1_workers,worker,14 may 2019,19134,0,c3
50,51,pink,1_workers,worker,14 may 2019,19134,0,c3
51,52,pink,1_workers,worker,14 may 2019,19134,0,c3
52,53,pink,1_workers,worker,14 may 2019,19134,0,c3
53,54,pink,1_workers,worker,14 may 2019,19134,0,c3
54,55,pink,1_workers,worker,14 may 2019,19134,0,c3
55,56,pink,1_workers,worker,14 may 2019,19134,0,c3
56,57,pink,1_workers,worker,14 may 2019,19134,0,c3
57,58,pink,1_workers,worker,14 may 2019,19134,0,c3
58,59,pink,1_workers,worker,14 may 2019,19134,0,c3
59,60,pink,1_workers,worker,14 may 2019,19134,0,c3
60,61,pink,1_workers,worker,14 may 2019,19134,0,c3
61,62,pink,1_workers,worker,14 may 2019,19134,0,c3
62,63,pink,1_workers,worker,14 may 2019,19134,0,c3
63,64,pink,1_workers,worker,14 may 2019,19134,0,c3
64,65,pink,1_workers,worker,14 may 2019,19134,0,c3
65,66,pink,1_workers,worker,14 may 2019,19134,0,c3
66,67,pink,1_workers,worker,14 may 2019,19134,0,c3
67,68,pink,1_workers,worker,14 may 2019,19134,0,c3
68,69,pink,1_workers,worker,14 may 2019,19134,0,c3
69,70,pink,1_workers,worker,14 may 2019,19134,0,c3
70,71,pink,1_workers,worker,14 may 2019,19134,0,c3
71,72,pink,1_workers,worker,14 may 2019,19134,0,c3
72,73,pink,1_workers,worker,14 may 2019,19134,0,c3
73,74,pink,1_workers,worker,14 may 2019,19134,0,c3
74,75,pink,1_workers,worker,14 may 2019,19134,0,c3
75,76,pink,1_workers,worker,14 may 2019,19134,0,c3
76,77,pink,1_workers,worker,14 may 2019,19134,0,c3
77,78,pink,1_workers,worker,14 may 2019,19134,0,c3
78,79,pink,1_workers,worker,14 may 2019,19134,0,c3
79,80,pink,1_workers,worker,14 may 2019,19134,0,c3
80,81,pink,1_workers,worker,14 may 2019,19134,0,c3
81,82,pink,1_workers,worker,14 may 2019,19134,0,c3
82,83,pink,1_workers,worker,14 may 2019,19134,0,c3
83,84,pink,1_workers,worker,14 may 2019,19134,0,c3
84,85,pink,1_workers,worker,14 may 2019,19134,0,c3
85,86,pink,1_workers,worker,14 may 2019,19134,0,c3
86,87,pink,1_workers,worker,14 may 2019,19134,0,c3
87,88,pink,1_workers,worker,14 may 2019,19134,0,c3
88,89,pink,1_workers,worker,14 may 2019,19134,0,c3
89,90,pink,1_workers,worker,14 may 2019,19134,0,c3
90,91,pink,1_workers,worker,14 may 2019,19134,0,c3
91,92,pink,1_workers,worker,14 may 2019,19134,0,c3
92,93,pink,1_workers,worker,14 may 2019,19134,0,c3
93,94,pink,1_workers,worker,14 may 2019,19134,0,c3
94,95,pink,1_workers,worker,14 may 2019,19134,0,c3
95,96,pink,1_workers,worker,14 may 2019,19134,0,c3
96,97,pink,1_workers,worker,14 may 2019,19134,0,c3
97,98,pink,1_workers,worker,14 may 2019,19134,0,c3
98,99,pink,1_workers,worker,14 may 2019,19134,0,c3
99,100,pink,1_workers,worker,14 may 2019,19134,0,c3
100,101,pink,1_workers,worker,14 may 2019,19134,0,c3
101,102,pink,1_workers,worker,14 may 2019,19134,0,c3
102,103,pink,1_workers,worker,14 may 2019,19134,0,c3
103,104,pink,1_workers,worker,14 may 2019,19134,0,c3
104,105,pink,1_workers,worker,14 may 2019,19134,0,c3
105,106,pink,1_workers,worker,14 may 2019,19134,0,c3
106,107,pink,1_workers,worker,14 may 2019,19134,0,c3
107,108,pink,1_workers,worker,14 may 2019,19134,0,c3
108,109,pink,1_workers,worker,14 may 2019,19134,0,c3
109,110,pink,1_workers,worker,14 may 2019,19134,0,c3
110,111,pink,1_workers,worker,14 may 2019,19134,0,c3
111,112,pink,1_workers,worker,14 may 2019,19134,0,c3
112,113,pink,1_workers,worker,14 may 2019,19134,0,c3
113,114,pink,1_workers,worker,14 may 2019,19134,0,c3
114,115,pink,1_workers,worker,14 may 2019,19134,0,c3
115,116,pink,1_workers,worker,14 may 2019,19134,0,c3
116,117,pink,1_workers,worker,14 may 2019,19134,0,c3
117,118,pink,1_workers,worker,14 may 2019,19134,0,c3
118,119,pink,1_workers,worker,14 may 2019,19134,0,c3
119,120,pink,1_workers,worker,14 may 2019,19134,0,c3
120,121,pink,1_workers,worker,14 may 2019,19134,0,c3
121,122,pink,1_workers,worker,14 may 2019,19134,0,c3
122,123,pink,1_workers,worker,14 may 2019,19134,0,c3
