exp_day,date,cohort_introduced,which_cohort,drones_introduced,which_drones,culling_unmarked_bees,adding_unmarked_bees,building_comb,comb_feeder_on,formed_festoon,exchange_comb,heat_stress,darwinian_demon,rest_day,morgane_defense,notes
0,5-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1,6-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,7-Jun-19,TRUE,charlie,TRUE,charlie_drones,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,8-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,9-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,10-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,11-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,12-Jun-19,TRUE,delta,TRUE,delta_drones,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,13-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,14-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"traveling, check if comb area increased"
10,15-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"traveling, check if comb area increased"
11,16-Jun-19,TRUE,echo,FALSE,FALSE,FALSE,FALSE,TRUE?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"traveling, check if comb area increased"
12,17-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"traveling, check if comb area increased"
13,18-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,19-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,20-Jun-19,TRUE,foxtrot,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,21-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,22-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,23-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,24-Jun-19,TRUE,golf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,25-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,26-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
22,27-Jun-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
